name,type,start_time,duration,"mosi","miso"
"SPI","result",2.35388306,1.9375e-06,0xFF,0x00
"SPI","result",2.35388669,1.9375e-06,0xFF,0x00
"SPI","result",2.35389031,1.9375e-06,0xFF,0x00
"SPI","result",2.35389394,1.9375e-06,0xFF,0x00
"SPI","result",2.35389756,1.9375e-06,0xFF,0x00
"SPI","result",2.35390119,1.9375e-06,0xFF,0x00
"SPI","result",2.35391319,1.9375e-06,0xFF,0x00
"SPI","result",2.35391681,1.9375e-06,0xFF,0x00
"SPI","result",2.35392044,1.9375e-06,0xFF,0x00
"SPI","result",2.35392406,1.9375e-06,0xFF,0x00
"SPI","result",2.35392769,1.9375e-06,0xFF,0x00
"SPI","result",2.35393131,1.9375e-06,0xFF,0x00
"SPI","result",2.35393494,1.9375e-06,0xFF,0x00
"SPI","result",2.35393856,1.9375e-06,0xFF,0x00
"SPI","result",2.35394219,1.9375e-06,0xFF,0x00
"SPI","result",2.35394581,1.9375e-06,0xFF,0x00
"SPI","result",2.35394944,1.9375e-06,0xFF,0x00
"SPI","result",2.35395306,1.9375e-06,0xFF,0x00
"SPI","result",2.35395669,1.9375e-06,0xFF,0x00
"SPI","result",2.35396031,1.9375e-06,0xFF,0x00
"SPI","result",2.35396394,1.9375e-06,0xFF,0x00
"SPI","result",2.35396756,1.9375e-06,0xFF,0x00
"SPI","result",2.35397119,1.9375e-06,0xFF,0x00
"SPI","result",2.35397481,1.9375e-06,0xFF,0x00
"SPI","result",2.35397844,1.9375e-06,0xFF,0x00
"SPI","result",2.35398206,1.9375e-06,0xFF,0x00
"SPI","result",2.35398569,1.9375e-06,0xFF,0x00
"SPI","result",2.35398931,1.9375e-06,0xFF,0x00
"SPI","result",2.35399294,1.9375e-06,0xFF,0x00
"SPI","result",2.35399656,1.9375e-06,0xFF,0x00
"SPI","result",2.35400019,1.9375e-06,0xFF,0x00
"SPI","result",2.35400381,1.9375e-06,0xFF,0x00
"SPI","result",2.35400744,1.9375e-06,0xFF,0x00
"SPI","result",2.35401106,1.9375e-06,0xFF,0x00
"SPI","result",2.35401469,1.9375e-06,0xFF,0x00
"SPI","result",2.35401831,1.9375e-06,0xFF,0x00
"SPI","result",2.35402194,1.9375e-06,0xFF,0x00
"SPI","result",2.35402556,1.9375e-06,0xFF,0x00
"SPI","result",2.35402919,1.9375e-06,0xFF,0x00
"SPI","result",2.35403281,1.9375e-06,0xFF,0x00
"SPI","result",2.35403644,1.9375e-06,0xFF,0x00
"SPI","result",2.35404006,1.9375e-06,0xFF,0x00
"SPI","result",2.35404369,1.9375e-06,0xFF,0x00
"SPI","result",2.35404731,1.9375e-06,0xFF,0x00
"SPI","result",2.35405094,1.9375e-06,0xFF,0x00
"SPI","result",2.35405456,1.9375e-06,0xFF,0x00
"SPI","result",2.35405819,1.9375e-06,0xFF,0x00
"SPI","result",2.35406181,1.9375e-06,0xFF,0x00
"SPI","result",2.35406544,1.9375e-06,0xFF,0x00
"SPI","result",2.35406906,1.9375e-06,0xFF,0x00
"SPI","result",2.35407269,1.9375e-06,0xFF,0x00
"SPI","result",2.35407631,1.9375e-06,0xFF,0x00
"SPI","result",2.35407994,1.9375e-06,0xFF,0x00
"SPI","result",2.35408356,1.9375e-06,0xFF,0x00
"SPI","result",2.35408719,1.9375e-06,0xFF,0x00
"SPI","result",2.35409081,1.9375e-06,0xFF,0x00
"SPI","result",2.35409444,1.9375e-06,0xFF,0x00
"SPI","result",2.35409806,1.9375e-06,0xFF,0x00
"SPI","result",2.35410169,1.9375e-06,0xFF,0x00
"SPI","result",2.35410531,1.9375e-06,0xFF,0x00
"SPI","result",2.35410894,1.9375e-06,0xFF,0x00
"SPI","result",2.35411256,1.9375e-06,0xFF,0x00
"SPI","result",2.35411619,1.9375e-06,0xFF,0x00
"SPI","result",2.35411981,1.9375e-06,0xFF,0x00
"SPI","result",2.35412344,1.9375e-06,0xFF,0x00
"SPI","result",2.35412706,1.9375e-06,0xFF,0x00
"SPI","result",2.35413069,1.9375e-06,0xFF,0x00
"SPI","result",2.35413431,1.9375e-06,0xFF,0x00
"SPI","result",2.35413794,2e-06,0xFF,0x00
"SPI","result",2.35414156,2e-06,0xFF,0x00
"SPI","result",2.35414519,2e-06,0xFF,0x00
"SPI","result",2.35414881,2e-06,0xFF,0x00
"SPI","result",2.35415244,2e-06,0xFF,0x00
"SPI","result",2.35415606,2e-06,0xFF,0x00
"SPI","result",2.35415969,2e-06,0xFF,0x00
"SPI","result",2.35416338,1.9375e-06,0xFF,0x00
"SPI","result",2.354167,1.9375e-06,0xFF,0x00
"SPI","result",2.35417063,1.9375e-06,0xFF,0x00
"SPI","result",2.35417425,1.9375e-06,0xFF,0x00
"SPI","result",2.35417787,1.9375e-06,0xFF,0x00
"SPI","result",2.3541815,1.9375e-06,0xFF,0x00
"SPI","result",2.35418512,1.9375e-06,0xFF,0x00
"SPI","result",2.35418875,1.9375e-06,0xFF,0x00
"SPI","result",2.35419237,1.9375e-06,0xFF,0x00
"SPI","result",2.354196,1.9375e-06,0xFF,0x00
"SPI","result",2.35419963,1.9375e-06,0xFF,0x00
"SPI","result",2.35420325,1.9375e-06,0xFF,0x00
"SPI","result",2.35420688,1.9375e-06,0xFF,0x00
"SPI","result",2.3542105,1.9375e-06,0xFF,0x00
"SPI","result",2.35421412,1.9375e-06,0xFF,0x00
"SPI","result",2.35421775,1.9375e-06,0xFF,0x00
"SPI","result",2.35422744,1.9375e-06,0xFF,0x00
"SPI","result",2.35423106,1.9375e-06,0xFF,0x00
"SPI","result",2.35423469,1.9375e-06,0xFF,0x00
"SPI","result",2.35423831,1.9375e-06,0xFF,0x00
"SPI","result",2.35424194,1.9375e-06,0xFF,0x00
"SPI","result",2.35424556,1.9375e-06,0xFF,0x00
"SPI","result",2.35424919,1.9375e-06,0xFF,0x00
"SPI","result",2.35425281,1.9375e-06,0xFF,0x00
"SPI","result",2.35425644,1.9375e-06,0xFF,0x00
"SPI","result",2.35426006,1.9375e-06,0xFF,0x00
"SPI","result",2.35426369,1.9375e-06,0xFF,0x00
"SPI","result",2.35426731,1.9375e-06,0xFF,0x00
"SPI","result",2.35427094,1.9375e-06,0xFF,0x00
"SPI","result",2.35427456,1.9375e-06,0xFF,0x00
"SPI","result",2.35427819,1.9375e-06,0xFF,0x00
"SPI","result",2.35428181,1.9375e-06,0xFF,0x00
"SPI","result",2.35428544,1.9375e-06,0xFF,0x00
"SPI","result",2.35428906,1.9375e-06,0xFF,0x00
"SPI","result",2.35429269,1.9375e-06,0xFF,0x00
"SPI","result",2.35429631,1.9375e-06,0xFF,0x00
"SPI","result",2.35429994,1.9375e-06,0xFF,0x00
"SPI","result",2.35430356,1.9375e-06,0xFF,0x00
"SPI","result",2.35430719,1.9375e-06,0xFF,0x00
"SPI","result",2.35431081,1.9375e-06,0xFF,0x00
"SPI","result",2.35431444,1.9375e-06,0xFF,0x00
"SPI","result",2.35431806,1.9375e-06,0xFF,0x00
"SPI","result",2.35432169,1.9375e-06,0xFF,0x00
"SPI","result",2.35432531,1.9375e-06,0xFF,0x00
"SPI","result",2.35432894,1.9375e-06,0xFF,0x00
"SPI","result",2.35433256,1.9375e-06,0xFF,0x00
"SPI","result",2.35433619,1.9375e-06,0xFF,0x00
"SPI","result",2.35433981,1.9375e-06,0xFF,0x00
"SPI","result",2.35434344,1.9375e-06,0xFF,0x00
"SPI","result",2.35434706,1.9375e-06,0xFF,0x00
"SPI","result",2.35435069,1.9375e-06,0xFF,0x00
"SPI","result",2.35435431,1.9375e-06,0xFF,0x00
"SPI","result",2.35435794,1.9375e-06,0xFF,0x00
"SPI","result",2.35436156,1.9375e-06,0xFF,0x00
"SPI","result",2.35436519,1.9375e-06,0xFF,0x00
"SPI","result",2.35436881,1.9375e-06,0xFF,0x00
"SPI","result",2.35437244,1.9375e-06,0xFF,0x00
"SPI","result",2.35437606,1.9375e-06,0xFF,0x00
"SPI","result",2.35437969,1.9375e-06,0xFF,0x00
"SPI","result",2.35438331,1.9375e-06,0xFF,0x00
"SPI","result",2.35438694,1.9375e-06,0xFF,0x00
"SPI","result",2.35439056,1.9375e-06,0xFF,0x00
"SPI","result",2.35439419,1.9375e-06,0xFF,0x00
"SPI","result",2.35439781,1.9375e-06,0xFF,0x00
"SPI","result",2.35440144,1.9375e-06,0xFF,0x00
"SPI","result",2.35440506,1.9375e-06,0xFF,0x00
"SPI","result",2.35440869,1.9375e-06,0xFF,0x00
"SPI","result",2.35441231,1.9375e-06,0xFF,0x00
"SPI","result",2.35441594,1.9375e-06,0xFF,0x00
"SPI","result",2.35441956,1.9375e-06,0xFF,0x00
"SPI","result",2.35442319,1.9375e-06,0xFF,0x00
"SPI","result",2.35442681,1.9375e-06,0xFF,0x00
"SPI","result",2.35443044,1.9375e-06,0xFF,0x00
"SPI","result",2.35443406,1.9375e-06,0xFF,0x00
"SPI","result",2.35443769,1.9375e-06,0xFF,0x00
"SPI","result",2.35444131,1.9375e-06,0xFF,0x00
"SPI","result",2.35444494,1.9375e-06,0xFF,0x00
"SPI","result",2.35444856,1.9375e-06,0xFF,0x00
"SPI","result",2.35445219,1.9375e-06,0xFF,0x00
"SPI","result",2.35445581,1.9375e-06,0xFF,0x00
"SPI","result",2.35445944,1.9375e-06,0xFF,0x00
"SPI","result",2.35446306,1.9375e-06,0xFF,0x00
"SPI","result",2.35446669,1.9375e-06,0xFF,0x00
"SPI","result",2.35447031,1.9375e-06,0xFF,0x00
"SPI","result",2.35447394,1.9375e-06,0xFF,0x00
"SPI","result",2.35447756,1.9375e-06,0xFF,0x00
"SPI","result",2.35448119,1.9375e-06,0xFF,0x00
"SPI","result",2.35448481,1.9375e-06,0xFF,0x00
"SPI","result",2.35448844,1.9375e-06,0xFF,0x00
"SPI","result",2.35449206,1.9375e-06,0xFF,0x00
"SPI","result",2.35449569,1.9375e-06,0xFF,0x00
"SPI","result",2.35449931,1.9375e-06,0xFF,0x00
"SPI","result",2.35450294,1.9375e-06,0xFF,0x00
"SPI","result",2.35450656,1.9375e-06,0xFF,0x00
"SPI","result",2.35451019,1.9375e-06,0xFF,0x00
"SPI","result",2.35451381,1.9375e-06,0xFF,0x00
"SPI","result",2.35451744,1.9375e-06,0xFF,0x00
"SPI","result",2.35452106,2e-06,0xFF,0x00
"SPI","result",2.35452469,2e-06,0xFF,0x00
"SPI","result",2.35452831,2e-06,0xFF,0x00
"SPI","result",2.35453194,2e-06,0xFF,0x00
"SPI","result",2.35453556,2e-06,0xFF,0x00
"SPI","result",2.35453919,2e-06,0xFF,0x00
"SPI","result",2.35454281,2e-06,0xFF,0x00
"SPI","result",2.3545465,1.9375e-06,0xFF,0x00
"SPI","result",2.35455012,1.9375e-06,0xFF,0x00
"SPI","result",2.35455375,1.9375e-06,0xFF,0x00
"SPI","result",2.35455738,1.9375e-06,0xFF,0x00
"SPI","result",2.354561,1.9375e-06,0xFF,0x00
"SPI","result",2.35456463,1.9375e-06,0xFF,0x00
"SPI","result",2.35456825,1.9375e-06,0xFF,0x00
"SPI","result",2.35457187,1.9375e-06,0xFF,0x00
"SPI","result",2.3545755,1.9375e-06,0xFF,0x00
"SPI","result",2.35457912,1.9375e-06,0xFF,0x00
"SPI","result",2.35458275,1.9375e-06,0xFF,0x00
"SPI","result",2.35458637,1.9375e-06,0xFF,0x00
"SPI","result",2.35459,1.9375e-06,0xFF,0x00
"SPI","result",2.35459363,1.9375e-06,0xFF,0x00
"SPI","result",2.35459725,1.9375e-06,0xFF,0x00
"SPI","result",2.35460088,1.9375e-06,0xFF,0x00
"SPI","result",2.3546045,1.9375e-06,0xFF,0x00
"SPI","result",2.35460812,1.9375e-06,0xFF,0x00
"SPI","result",2.35461175,1.9375e-06,0xFF,0x00
"SPI","result",2.35461537,1.9375e-06,0xFF,0x00
"SPI","result",2.354619,1.9375e-06,0xFF,0x00
"SPI","result",2.35462263,1.9375e-06,0xFF,0x00
"SPI","result",2.35462625,1.9375e-06,0xFF,0x00
"SPI","result",2.35462988,1.9375e-06,0xFF,0x00
"SPI","result",2.3546335,1.9375e-06,0xFF,0x00
"SPI","result",2.35463712,1.9375e-06,0xFF,0x00
"SPI","result",2.35464075,1.9375e-06,0xFF,0x00
"SPI","result",2.35464437,1.9375e-06,0xFF,0x00
"SPI","result",2.354648,1.9375e-06,0xFF,0x00
"SPI","result",2.35465162,1.9375e-06,0xFF,0x00
"SPI","result",2.35465525,1.9375e-06,0xFF,0x00
"SPI","result",2.35465888,1.9375e-06,0xFF,0x00
"SPI","result",2.3546625,1.9375e-06,0xFF,0x00
"SPI","result",2.35466613,1.9375e-06,0xFF,0x00
"SPI","result",2.35466975,1.9375e-06,0xFF,0x00
"SPI","result",2.35467337,1.9375e-06,0xFF,0x00
"SPI","result",2.354677,1.9375e-06,0xFF,0x00
"SPI","result",2.35468062,1.9375e-06,0xFF,0x00
"SPI","result",2.35468425,1.9375e-06,0xFF,0x00
"SPI","result",2.35468788,1.9375e-06,0xFF,0x00
"SPI","result",2.3546915,1.9375e-06,0xFF,0x00
"SPI","result",2.35469513,1.9375e-06,0xFF,0x00
"SPI","result",2.35469875,1.9375e-06,0xFF,0x00
"SPI","result",2.35470238,1.9375e-06,0xFF,0x00
"SPI","result",2.354706,1.9375e-06,0xFF,0x00
"SPI","result",2.35470962,1.9375e-06,0xFF,0x00
"SPI","result",2.35471325,1.9375e-06,0xFF,0x00
"SPI","result",2.35471687,1.9375e-06,0xFF,0x00
"SPI","result",2.3547205,1.9375e-06,0xFF,0x00
"SPI","result",2.35472413,1.9375e-06,0xFF,0x00
"SPI","result",2.35472775,1.9375e-06,0xFF,0x00
"SPI","result",2.35473138,1.9375e-06,0xFF,0x00
"SPI","result",2.354735,1.9375e-06,0xFF,0x00
"SPI","result",2.35473862,1.9375e-06,0xFF,0x00
"SPI","result",2.35474225,1.9375e-06,0xFF,0x00
"SPI","result",2.35474587,1.9375e-06,0xFF,0x00
"SPI","result",2.3547495,1.9375e-06,0xFF,0x00
"SPI","result",2.35475312,1.9375e-06,0xFF,0x00
"SPI","result",2.35475675,1.9375e-06,0xFF,0x00
"SPI","result",2.35476038,1.9375e-06,0xFF,0x00
"SPI","result",2.354764,1.9375e-06,0xFF,0x00
"SPI","result",2.35476763,1.9375e-06,0xFF,0x00
"SPI","result",2.35477125,1.9375e-06,0xFF,0x00
"SPI","result",2.35477487,1.9375e-06,0xFF,0x00
"SPI","result",2.3547785,1.9375e-06,0xFF,0x00
"SPI","result",2.35478212,1.9375e-06,0xFF,0x00
"SPI","result",2.35478575,1.9375e-06,0xFF,0x00
"SPI","result",2.35478938,1.9375e-06,0xFF,0x00
"SPI","result",2.354793,1.9375e-06,0xFF,0x00
"SPI","result",2.35479663,1.9375e-06,0xFF,0x00
"SPI","result",2.35480025,1.9375e-06,0xFF,0x00
"SPI","result",2.35480387,1.9375e-06,0xFF,0x00
"SPI","result",2.3548075,1.9375e-06,0xFF,0x00
"SPI","result",2.35481112,1.9375e-06,0xFF,0x00
"SPI","result",2.35481475,1.9375e-06,0xFF,0x00
"SPI","result",2.35481837,1.9375e-06,0xFF,0x00
"SPI","result",2.354822,1.9375e-06,0xFF,0x00
"SPI","result",2.35482563,1.9375e-06,0xFF,0x00
"SPI","result",2.35482925,1.9375e-06,0xFF,0x00
"SPI","result",2.35483288,1.9375e-06,0xFF,0x00
"SPI","result",2.3548365,1.9375e-06,0xFF,0x00
"SPI","result",2.35484012,1.9375e-06,0xFF,0x00
"SPI","result",2.35484375,1.9375e-06,0xFF,0x00
"SPI","result",2.35484737,1.9375e-06,0xFF,0x00
"SPI","result",2.354851,1.9375e-06,0xFF,0x00
"SPI","result",2.35485463,1.9375e-06,0xFF,0x00
"SPI","result",2.35485825,1.9375e-06,0xFF,0x00
"SPI","result",2.35486188,1.9375e-06,0xFF,0x00
"SPI","result",2.3548655,1.9375e-06,0xFF,0x00
"SPI","result",2.35486913,1.9375e-06,0xFF,0x00
"SPI","result",2.35487275,1.9375e-06,0xFF,0x00
"SPI","result",2.35487637,1.9375e-06,0xFF,0x00
"SPI","result",2.35488,1.9375e-06,0xFF,0x00
"SPI","result",2.35488362,1.9375e-06,0xFF,0x00
"SPI","result",2.35488725,1.9375e-06,0xFF,0x00
"SPI","result",2.35489088,1.9375e-06,0xFF,0x00
"SPI","result",2.3548945,1.9375e-06,0xFF,0x00
"SPI","result",2.35489813,1.9375e-06,0xFF,0x00
"SPI","result",2.35490175,1.9375e-06,0xFF,0x00
"SPI","result",2.35490537,1.9375e-06,0xFF,0x00
"SPI","result",2.354909,1.9375e-06,0xFF,0x00
"SPI","result",2.35491262,2e-06,0xFF,0x00
"SPI","result",2.35491625,2e-06,0xFF,0x00
"SPI","result",2.35491988,2e-06,0xFF,0x00
"SPI","result",2.3549235,2e-06,0xFF,0x00
"SPI","result",2.35492713,2e-06,0xFF,0x00
"SPI","result",2.35493081,1.9375e-06,0xFF,0x00
"SPI","result",2.35493444,1.9375e-06,0xFF,0x00
"SPI","result",2.35493806,1.9375e-06,0xFF,0x00
"SPI","result",2.35494169,1.9375e-06,0xFF,0x00
"SPI","result",2.35494531,1.9375e-06,0xFF,0x00
"SPI","result",2.35494894,1.9375e-06,0xFF,0x00
"SPI","result",2.35495256,1.9375e-06,0xFF,0x00
"SPI","result",2.35495619,1.9375e-06,0xFF,0x00
"SPI","result",2.35495981,1.9375e-06,0xFF,0x00
"SPI","result",2.35496344,1.9375e-06,0xFF,0x00
"SPI","result",2.35496706,1.9375e-06,0xFF,0x00
"SPI","result",2.35497069,1.9375e-06,0xFF,0x00
"SPI","result",2.35497431,1.9375e-06,0xFF,0x00
"SPI","result",2.35497794,1.9375e-06,0xFF,0x00
"SPI","result",2.35498156,1.9375e-06,0xFF,0x00
"SPI","result",2.35498519,1.9375e-06,0xFF,0x00
"SPI","result",2.35498881,1.9375e-06,0xFF,0x00
"SPI","result",2.35499244,1.9375e-06,0xFF,0x00
"SPI","result",2.35499606,1.9375e-06,0xFF,0x00
"SPI","result",2.35499969,1.9375e-06,0xFF,0x00
"SPI","result",2.35500331,1.9375e-06,0xFF,0x00
"SPI","result",2.35500694,1.9375e-06,0xFF,0x00
"SPI","result",2.35501056,1.9375e-06,0xFF,0x00
"SPI","result",2.35501419,1.9375e-06,0xFF,0x00
"SPI","result",2.35501781,1.9375e-06,0xFF,0x00
"SPI","result",2.35502144,1.9375e-06,0xFF,0x00
"SPI","result",2.35502506,1.9375e-06,0xFF,0x00
"SPI","result",2.35502869,1.9375e-06,0xFF,0x00
"SPI","result",2.35503231,1.9375e-06,0xFF,0x00
"SPI","result",2.35503594,1.9375e-06,0xFF,0x00
"SPI","result",2.35503956,1.9375e-06,0xFF,0x00
"SPI","result",2.35504319,1.9375e-06,0xFF,0x00
"SPI","result",2.35504681,1.9375e-06,0xFF,0x00
"SPI","result",2.35505044,1.9375e-06,0xFF,0x00
"SPI","result",2.35505406,1.9375e-06,0xFF,0x00
"SPI","result",2.35505769,1.9375e-06,0xFF,0x00
"SPI","result",2.35506131,1.9375e-06,0xFF,0x00
"SPI","result",2.35506494,1.9375e-06,0xFF,0x00
"SPI","result",2.35506856,1.9375e-06,0xFF,0x00
"SPI","result",2.35507219,1.9375e-06,0xFF,0x00
"SPI","result",2.35507581,1.9375e-06,0xFF,0x00
"SPI","result",2.35507944,1.9375e-06,0xFF,0x00
"SPI","result",2.35508306,1.9375e-06,0xFF,0x00
"SPI","result",2.35508669,1.9375e-06,0xFF,0x00
"SPI","result",2.35509031,1.9375e-06,0xFF,0x00
"SPI","result",2.35509394,1.9375e-06,0xFF,0x00
"SPI","result",2.35509756,1.9375e-06,0xFF,0x00
"SPI","result",2.35510119,1.9375e-06,0xFF,0x00
"SPI","result",2.35510481,1.9375e-06,0xFF,0x00
"SPI","result",2.35510844,1.9375e-06,0xFF,0x00
"SPI","result",2.35511206,1.9375e-06,0xFF,0x00
"SPI","result",2.35511569,1.9375e-06,0xFF,0x00
"SPI","result",2.35511931,1.9375e-06,0xFF,0x00
"SPI","result",2.35512294,1.9375e-06,0xFF,0x00
"SPI","result",2.35512656,1.9375e-06,0xFF,0x00
"SPI","result",2.35513019,1.9375e-06,0xFF,0x00
"SPI","result",2.35513381,1.9375e-06,0xFF,0x00
"SPI","result",2.35513744,1.9375e-06,0xFF,0x00
"SPI","result",2.35514106,1.9375e-06,0xFF,0x00
"SPI","result",2.35514469,1.9375e-06,0xFF,0x00
"SPI","result",2.35514831,1.9375e-06,0xFF,0x00
"SPI","result",2.35515194,1.9375e-06,0xFF,0x00
"SPI","result",2.35515556,1.9375e-06,0xFF,0x00
"SPI","result",2.35515919,1.9375e-06,0xFF,0x00
"SPI","result",2.35516281,1.9375e-06,0xFF,0x00
"SPI","result",2.35516644,1.9375e-06,0xFF,0x00
"SPI","result",2.35517006,1.9375e-06,0xFF,0x00
"SPI","result",2.35517369,1.9375e-06,0xFF,0x00
"SPI","result",2.35517731,1.9375e-06,0xFF,0x00
"SPI","result",2.35518094,1.9375e-06,0xFF,0x00
"SPI","result",2.35518456,1.9375e-06,0xFF,0x00
"SPI","result",2.35518819,1.9375e-06,0xFF,0x00
"SPI","result",2.35519181,1.9375e-06,0xFF,0x00
"SPI","result",2.35519544,1.9375e-06,0xFF,0x00
"SPI","result",2.35519906,1.9375e-06,0xFF,0x00
"SPI","result",2.35520269,1.9375e-06,0xFF,0x00
